the_geom,waterway_access,latitude,longitude,boat_ramp_name,asset_owner,contact_number,street,suburb,waterway_name,state,postcode,id,ramp_condition,ramp_material,has_bbq,has_fee_payable,has_kiosk,has_lighting,has_toilets,has_bins,has_pontoon_nearby,has_pontoon_ramp,number_ramp_lanes
0101000020E6100000AAEE780A69EF61403CE943EB947941C0,Shallow At Times,-34.9498571473691,143.481572376438,Kyalite Boat Ramp (Caravan Park),Balranald Shire Council,03 5020 1300,Kyalite Road,Kyalite,Wakool River,NSW,2734,67,GOOD,Concrete,true,false,false,false,false,false,false,false,1
0101000020E610000042263D41A4276340A3F1F49D826D3DC0,All Times,-29.4277743075378,153.238800639565,Harwood - Clarence River,Clarence Valley Council,02 6643 0200,Martins Point Road,Harwood,Clarence River,NSW,2465,68,GOOD,Concrete,false,false,false,true,true,true,false,false,1
0101000020E6100000FC7AA8DFD73063400C69F89553313CC0,All Times,-28.1926816684218,153.526351765693,Dry Dock Road Boat Ramp ,Tweed Shire Council,02 6670 2400,Dry Dock Road,Tweed Heads South,Terranora Creek,NSW,2486,69,POOR,Not Provided,false,false,false,true,true,false,true,false,2
0101000020E6100000C92E42B1481B6340347B795F93673FC0,Shallow At Times,-31.404592482718,152.852623585952,Fernbank Creek Boat Ramp,Port Macquarie-Hastings Council,02 6581 8111,Fernbank Creek Road,Port Macquarie,Hastings River,NSW,2444,70,POOR,Concrete,false,false,false,false,false,false,false,false,2
0101000020E61000009BA4B70882276340AAD0B37D1F613DC0,All Times,-29.379386764908,153.234623297384,Chatsworth Island - Clarence River,Clarence Valley Council,02 6643 0200,Chatsworth Road,Chatsworth Island,Clarence River (North Arm),NSW,2469,71,POOR,Bitumen,false,false,false,false,false,false,false,false,1
0101000020E6100000155B082D10F36240D98293CB508140C0,All Times,-33.010278174426,151.595724598236,Royal Motor Yacht Club Toronto,Royal Motor Yacht Club Toronto,02 4959 2051,Bath Street,Toronto,Lake Macquarie,NSW,2283,72,GOOD,Concrete,false,false,true,true,false,true,true,true,1
0101000020E6100000C3AD9AAD3C1D6340B3030D0742A23DC0,All Times,-29.6338200003408,152.91365699969,Carrs Peninsular Boat Ramp,Clarence Valley Council,02 6643 0200,Carrs Peninsular Road,Junction Hill,Clarence River,NSW,2460,73,POOR,Not Provided,false,false,false,false,false,false,false,false,1
0101000020E610000009B2F4BF28E96240FC87FBFF35E740C0,Shallow At Times,-33.8063354471378,151.286224344178,Little Manly Cove,Manly Council,02 9976 1500,Craig Avenue,Manly,Sydney Harbour,NSW,2095,74,FAIR,Concrete,false,false,true,true,true,false,false,false,1
0101000020E6100000DFA70FAA68F462406B3E2511B38940C0,All Times,-33.0757771903853,151.637776403978,Swansea Boat Ramp,Lake Macquarie City Council,02 4921 0333,Dobinson Drive,Swansea,Lake Macquarie,NSW,2281,75,GOOD,Concrete,false,false,false,true,false,true,false,false,3
0101000020E61000007FB0CF7D07C462408C0F0549670842C0,Shallow At Times,-36.0656520151816,150.125914483684,Tuross Lake,Eurobodalla Shire Council,02 4429 3111,Trafalgar Road,Tuross,Tuross Lake,NSW,2537,76,GOOD,Concrete,false,false,true,false,true,true,true,true,2
0101000020E61000006B33A284DDE36240DF99DB36AAED40C0,All Times,-33.8567570278426,151.12079078369,Bayview Park Boat Ramp,City Of Canada Bay Council,02 9911 6555,Burwood Road,Concord,Parramatta River,NSW,2137,77,GOOD,Concrete,false,false,false,true,true,false,true,false,2
0101000020E610000047E6D88C4C1E6340442984303E043FC0,All Times,-31.016573936716,152.946844504959,Smithtown Boat Ramp ,Kempsey Shire Council,02 6566 3200,Main Street,Smithtown,Macleay River,NSW,2440,78,GOOD,Concrete,true,false,false,false,true,true,false,true,1
0101000020E6100000D723E90C8CE762407043E335AFD240C0,All Times,-33.645972000092,151.235846000053,Akuna Bay Boat Ramp,The Council Of The Shire Of Hornsby,02 9847 6666,Liberator General San Martin Drive,Mount Kuring-Gai,Coal And Candle Creek,NSW,2083,79,GOOD,Concrete,false,true,true,true,true,false,false,false,2
0101000020E6100000763D9844A4D66240166D1780546B3FC0,All Times,-31.4192581231301,150.707552239746,Quipolly Dam Boat Ramp,Liverpool Plains Shire Council,02 6746 1755,Lowes Creek Road,Quipolly ,Quipolly Dam,NSW,2343,80,GOOD,Concrete,false,false,false,false,true,false,false,false,1
0101000020E61000007CC0D30F6AFE62402AB24D07EBFF3FC0,Unknown,-31.9996800007522,151.950447000101,Gloucester District Park,MidCoast Council,02 6538 5250,Thunderbolts Way,Gloucester,Gloucester River,NSW,2422,81,UNKNOWN,Not Provided,true,false,false,false,true,true,false,false,
0101000020E610000061F494BAE4DF62404767F6086EE43DC0,High Dam Level,-29.8923040010043,150.996671000411,Copeton Dam Northern Foreshores,Inverell Shire Council,02 6728 8288,Auburn Vale Road,Copeton,Copeton Dam,NSW,2360,82,GOOD,Concrete,true,false,true,false,true,true,false,false,1
0101000020E61000007D22F130DAF66240C69B30F8906F40C0,Shallow At Times,-32.8716116177889,151.714134665457,Sandgate - Hunter Rv South Arm,Newcastle City Council,02 4974 2000,Ferry Road,Sandgate,Hunter River,NSW,2304,83,POOR,Bitumen,false,false,false,true,false,false,false,false,1
0101000020E6100000C625E80324F46240B31E96BE5E8140C0,All Times,-33.0107038720138,151.62939639417,Valentine,Lake Macquarie City Council,02 4350 5555,Dilkera Ave,Valentine,Lake Macquarie,NSW,2280,84,GOOD,Concrete,true,false,false,true,true,true,false,false,1
0101000020E610000043728109EC146240BA6F5E839B0942C0,Shallow At Times,-36.0750583850017,144.653813126397,Casey Road,Shire Of Campaspe, 03 5481 2200,Casey Road,Echuca,Murray River,NSW,3564,85,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E6100000A5EBD2529AC16240D56957A46B0842C0,All Times,-36.0657849718879,150.050088321642,Tuross River Bridge Boat Ramp,Eurobodalla Shire Council,02 4474 1000,Princes Highway,Bodalla,Tuross River,NSW,2545,86,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E61000005EE7646FA9D461405AC73835D06241C0,All Times,-34.771979000782,142.645682999685,Wemen,Swan Hill Rural City Council,03 5036 2333,Hattah - Robinvale Road,Wemen,Murray River,NSW,3549,87,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E6100000213F6A6798F0624014123F9468A140C0,Shallow At Times,-33.2610040004694,151.518603999627,"Wallarah Point Park, Gorokan 
(Fishermans Co Op)",Wyong Shire Council,02 4350 5555,Wallarah Road,Gorokan,Lake Budgewoi ,NSW,2263,88,GOOD,Concrete,true,false,false,true,true,false,true,false,2
0101000020E6100000E017540794936240ACA2FD9CE11042C0,Shallow At Times,-36.1318851698355,148.611819900746,Eucumbene Cove Boat Ramp,Snowy River Shire Council,02 6451 1195,Happy Jacks Drive,Kosciuszko National Park,Lake Eucumbene,NSW,2720,89,FAIR,Unsealed,false,false,false,false,false,false,false,false,1
0101000020E6100000D0634B223E946240D509EBD6C22842C0,All Times,-36.3184460303925,148.632584712263,"Kalkite Waters Access Point, Lake Jindabyne",Snowy  Hydro,02 6453 2888,Kalkite Road,Kalkite,Lake Jindabyne,NSW,2627,90,GOOD,Unsealed,false,false,false,false,true,false,false,false,1
0101000020E610000071F6BE6463D661402C1EF28CB65641C0,All Times,-34.6774460012642,142.699633000349,Happy Valley,Swan Hill Rural City Council,03 5036 2333,Happy Valley Landing Road,Happy Valley,Murray River,NSW,3594,91,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E610000048661B48421B6340306693D696663FC0,Shallow At Times,-31.4007391080724,152.851841023936,Blackmans Point Boat Ramp,Port Macquarie-Hastings Council,02 6581 8111,Blackmans Point Road,Blackmans Point,Hastings River,NSW,2444,92,POOR,Concrete,false,false,false,false,false,true,false,false,1
